sr,title,note,download,extension,numD,sizeTxt,sizeKB,category,remarks,no. of data rows,no. of columns,narrow or wide(pivoted)
89,Rastha Peth_Ravivar Peth_ward 17,"Rastha Peth,Ravivar Peth Ward 17 Polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/146?filepath=%2FDocuments%2F146%2FRastha%20Peth_Ravivar%20Peth_ward%2017.pdf,pdf,128,179.77 kb,180,elections,,,,
90,Deccan Gymkhana_Model Colony_Ward 14,"Deccan Gymkhana,Model Colony Ward 14 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/143?filepath=%2FDocuments%2F143%2FDeccan%20Gymkhana_.pdf,pdf,234,199.4 kb,199,elections,,,,
91,Rambagh_Shivteerth Nagar_Ward 11,"Rambagh,Shivteerth Nagar ward 11 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/140?filepath=%2FDocuments%2F140%2FRambagh_Shivteerth%20Nagar_Ward%2011.pdf,pdf,141,123.2 kb,123,elections,,,,
92,Aundh_Bhopodi_Ward 8,"Aundh,Bhopodi ward polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/137?filepath=%2FDocuments%2F137%2FAundh_Bhopodi_Ward%208.pdf,pdf,148,217.22 kb,217,elections,,,,
93,Vadgaonsheri_Kalyaninagar_Ward 5,Vadgaonsheri Kalyaninagar Ward 5 polling,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/134?filepath=%2FDocuments%2F134%2FVadgaonsheri_Kalyaninagar_Ward%205.pdf,pdf,145,157.77 kb,158,elections,,,,
94,Fulenagar _ Ward 2,Ward 2 fulenagar polling,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/131?filepath=%2FDocuments%2F131%2FFulenagar%20_%20Ward%202.pdf,pdf,128,156.33 kb,156,elections,,,,
95,Booth Wise Polling Percent,PMC General Elections 2017,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/128?filepath=%2FDocuments%2F128%2FBooth%20Wise%20Polling%20Percent.pdf,pdf,141,973.69 kb,974,elections,,,,
96,Prabhag profile,Prabhag profile -- 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/123?filepath=%2FDocuments%2F123%2FPrabhag%20profile.xlsx,xlsx,716,11.63 kb,12,population,,,,
97,LED Bulbs,LED Bulbs -- 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/120?filepath=%2FDocuments%2F120%2FLED%20Bulbs.xlsx,xlsx,579,11.4 kb,11,infrastructure,,,,
98,Footpath Details,Footpath Details -- 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/117?filepath=%2FDocuments%2F117%2FFootpath%20Details.xlsx,xlsx,696,11.62 kb,12,infrastructure,,,,
99,Sanitation Statistics,Sanitation Statistics,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/114?filepath=%2FDocuments%2F114%2FSanitation%20Statistics.xlsx,xlsx,714,12.77 kb,13,sanitation,,,,
100,Route wise Time Table of PMPML Buses,Time Table,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/111?filepath=%2FDocuments%2F111%2FRoute%20wise%20Time%20Table%20of%20PMPML%20Buses.xls,xls,893,4.39 mb,4495,bus,,,,
101,Commercial Establishments,Commercial Establishments -- 2005,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/107?filepath=%2FDocuments%2F107%2FCommercial%20Establishments.xlsx,xlsx,625,8.23 kb,8,infrastructure,,,,
102,Major Industries,Major Industries -- 2008,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/104?filepath=%2FDocuments%2F104%2FMajor%20Industries.xlsx,xlsx,645,9.28 kb,9,infrastructure,,,,
103,Schemes for Rehabilitation,Schemes for Rehabilitation -- 2009,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/101?filepath=%2FDocuments%2F101%2FSchemes%20for%20Rehabilitation.xlsx,xlsx,622,8.18 kb,8,slum,,,,
104,Slum population Pune,Slum population 2009,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/98?filepath=%2FDocuments%2F98%2FSlum%20population%20Pune.xlsx,xlsx,625,8.64 kb,9,slum,,,,
105,MHADA schemes,MHADA schemes -- 2001,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/95?filepath=%2FDocuments%2F95%2FMHADA%20schemes.xlsx,xlsx,647,8.11 kb,8,infrastructure,,,,
106,List of Primary drainage channels and their coverage,List of Primary drainage channels and their coverage -- 2012,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/92?filepath=%2FDocuments%2F92%2FList%20of%20Primary%20drainage%20channels%20and%20their%20coverage%20.xlsx,xlsx,700,10.43 kb,10,waste management,,,,
107,Capacity and method of treatment of STPs,Capacity and method of treatment of STPs -- 2012,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/89?filepath=%2FDocuments%2F89%2FCapacity%20and%20method%20of%20treatment%20of%20STPs.xlsx,xlsx,619,8.51 kb,9,treatment,,,,
108,Coverage of water supply connections,Coverage of water supply connections,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/86?filepath=%2FDocuments%2F86%2FCoverage%20of%20water%20supply%20connections.xlsx,xlsx,728,8.14 kb,8,water,,,,
109,Details of water treatment plants,Details of water treatment plants -- 2012,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/82?filepath=%2FDocuments%2F82%2FDetails%20of%20water%20treatment%20plants.xlsx,xlsx,699,10.1 kb,10,treatment,,,,
110,Solid waste processing plants,Solid waste processing plants,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/79?filepath=%2FDocuments%2F79%2FSolid%20waste%20processing%20plants.xlsx,xlsx,589,8.43 kb,8,waste management,,,,
111,Parked Roads,Summary of Parked Roads -- 2008,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/76?filepath=%2FDocuments%2F76%2FParked%20Roads.xlsx,xlsx,639,8.98 kb,9,transport,,,,
112,Public Transport,Characteristics of public transport,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/73?filepath=%2FDocuments%2F73%2FPublic%20Transport.xlsx,xlsx,821,9.9 kb,10,transport,,,,
113,Garbage Containers and Compactor Details,Garbage Containers and Compactor Details,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/70?filepath=%2FDocuments%2F70%2FGarbage%20Containers%20and%20Compactor%20Details.xlsx,xlsx,586,10.45 kb,10,waste management,,,,
114,City Vehicle Information,Includes data of 2 corporations,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/67?filepath=%2FDocuments%2F67%2FCity%20Vehicle%20Information.xlsx,xlsx,749,10.61 kb,11,transport,,,,
115,Detected Cases and Deaths due to diseases,Jan 2008 -- July 2011,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/64?filepath=%2FDocuments%2F64%2FDetected%20Cases%20and%20Deaths%20due%20to%20diseases.xlsx,xlsx,643,10.42 kb,10,health,,,,
116,Marathi PMC Hospitals,Data set contains PMC hospitals along with area details.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/61?filepath=%2FDocuments%2F61%2FMarathi%20PMC%20Hospitals.xlsx,xlsx,700,9.7 kb,10,health,,,,
117,Yearly_death_MMR_IMR_birth rate,"Data set with number of death, birth, Infant mortality and Maternal Mortality from year 2010 to 2015 Expressed in units per 1,000 individuals per year",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/58?filepath=%2FDocuments%2F58%2FYearly_death_MMR_IMR_birth%20rate.xlsx,xlsx,671,9.77 kb,10,birth death,,,,
118,List of Hawkers/ Vendors in Kothrud ward office,"The data set include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Kothrud ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/55?filepath=%2FDocuments%2F55%2Fdataset.pdf,pdf,500,475.56 kb,476,hawker--vendor,,,,
119,List of Hawkers/ Vendors in Ghole Road ward office,"The data set include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Ghole Road ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/52?filepath=%2FDocuments%2F52%2Fdataset.pdf,pdf,330,793.51 kb,794,hawker--vendor,,,,
120,List of Hawkers/ Vendors in Bibwewadi ward office,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Bibwewadi ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/49?filepath=%2FDocuments%2F49%2Fdataset.pdf,pdf,312,997.21 kb,997,hawker--vendor,,,,
121,Encroachment department Inspector List,The data set provides list of all encroachment inspectors (ward wise) and sub inspectors (ward wise) with their contact details.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/46?filepath=%2FDocuments%2F46%2Fdataset.xlsx,xlsx,720,11.04 kb,11,infrastructure,,,,
122,Citizen Facilitation Center Transaction Count Apr2015 to Mar2016,"The data set gives details (module, license type, count) of CFC transaction count from April 2015 to March 2016.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/43?filepath=%2FDocuments%2F43%2Fdataset.xlsx,xlsx,722,11.37 kb,11,complaints,,,,
123,Location of Ramps-- SWM Department,Reference URL: http://track8.geodirect.in/ramp.php,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/40?filepath=%2FDocuments%2F40%2Fdataset.pdf,pdf,274,191.28 kb,191,waste management,,,,
124,Public Toilet Policy Document,"this data set is a report for standard framework for public toilets. The document include description of applicability, standard framework for design, framework for toilet maintenance, managerial process, etc.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/37?filepath=%2FDocuments%2F37%2Fdataset.pdf,pdf,275,5.31 mb,5437,toilet,,,,
125,Finance-- Budget 2016--2017-- Standing Committee,The data set includes Pune Municipal Corproation's budget for 2016--17 as presented by Hon. Standing Committee.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/34?filepath=%2FDocuments%2F34%2Fdataset.xlsx,xlsx,1811,1.77 mb,1812,budget,,,,
126,STP Projects Executed by PMC till 2015,"Data set provide list of all sewage treatment plants in PMC with their Capacity (in MLD), Tender Cost (Inr Lacs), Funding Source, Process and Year of commissioning (updated Dec 2015)",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/31?filepath=%2FDocuments%2F31%2Fdataset.xlsx,xlsx,668,9.79 kb,10,treatment,,,,
127,Intermediate Pumping Stations 2015,"The data set include details of intermediate pumping stations in Pune city with name of the Intermediate pumping station (IPS), Capacity (in MLD), Year of Commissioning and Funding Source",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/28?filepath=%2FDocuments%2F28%2Fdataset.xlsx,xlsx,631,9.45 kb,9,water,,,,
128,Grievance details-- Media wise Jan 2006 to 30 Sep 2016,"The data set include list of various channels used by PMC for managing citizen grievances. the total number of grievances are further classified into Total Logged grievances, Closed grievances and Open grievances.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/25?filepath=%2FDocuments%2F25%2Fdataset.xlsx,xlsx,566,8.94 kb,9,complaints,,,,
129,"Slum Rehab-- Kasba Vishrambaugwada, slum locations superimposed on development plan",The file shows satellite image (boundary) of all slums in Kasba peth administrative ward area and details of slum pockets in respective electoral wards. These boundaries are also superimposed on Pune's development plan.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/22?filepath=%2FDocuments%2F22%2Fdataset.pdf,pdf,309,35.04 mb,35881,slum,,,,
130,Disaster Department list of Safety Equipment,The data set include list of all equipment with its usage and quantities.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/19?filepath=%2FDocuments%2F19%2Fdataset.xlsx,xlsx,611,11.14 kb,11,infrastructure,,,,
131,City Census-- Census Population Data 2011,"Data of Census 2011 of Pune Municipal Corporation Published by CENSUS OF INDIA. The data include details such as population of literates, illiterates, number of households, etc.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/16?filepath=%2FDocuments%2F16%2Fdataset.xlsx,xlsx,1985,47.2 kb,47,population,,,,
132,City Census-- Census Population Data 1981,"Data of census 1981 of Pune Municipal Corporation Published by CENSUS OF INDIA. Table include details such as No of Occupied Residential Houses, Total Population (including institutional) and Houseless Population, Literates, illiterates, etc.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/13?filepath=%2FDocuments%2F13%2Fdataset.xlsx,xlsx,1028,30.94 kb,31,population,,,,
133,List of Toilets in PMC with Lat & Long.,List of toilets in PMC area with latitude and longitude details,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/10?filepath=%2FDocuments%2F10%2Fdataset.xlsx,xlsx,919,26.59 kb,27,toilet,,,,
134,"List of Samaj Mandir (Bhavan) in PMC with ward name, latitude and longitude details","Data contains list of all Samaj Mandir managed by Bhavan department across PMC with ward name, prabhag (electoral ward) name and location (latitude & longitude) details.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/7?filepath=%2FDocuments%2F7%2Fdataset.xls,xls,1093,86.5 kb,86,infrastructure,,,,
135,"List of PMC managed Hospitals with ward name, latitude & longitude details","List of hospitals managed by Pune Municipal Corporation with ward name, prabhag (electoral ward name) and location (latitude & longitude) details.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/4?filepath=%2FDocuments%2F4%2Fdataset.xls,xls,877,36 kb,36,health,,,,
136,"List of Fire Brigade offices in PMC with ward name, latitude and longitude details","List of all fire brigade offices in PMC area with ward name, prabhag (electoral ward name) and location (latitude & longitude) details.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/1?filepath=%2FDocuments%2F1%2Fdataset.xlsx,xlsx,762,10.9 kb,11,infrastructure,,,,
137,School Enrollment Statistics 2012--2016,"School Enrollment data, Education Department",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/417?filepath=%2FDocuments%2F417%2FSchool%20Enrollment%20Statistics%202012--2016.xlsx,xlsx,17,2.73 mb,2796,education,,,,
138,Finance Budget 2017--18 Commissioner,Finance,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/414?filepath=%2FDocuments%2F414%2FFinance%20Budget%202017--18%20Commissioner.xlsx,xlsx,36,788.84 kb,789,budget,,,,
139,PMPML monthly information,PMPML monthly,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/411?filepath=%2FDocuments%2F411%2FPMPML%20monthly%20information.xlsx,xlsx,19,37.83 kb,38,bus,,,,
140,PMPML Monthly Information,Monthly Infor,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/408?filepath=%2FDocuments%2F408%2FPMPML%20Monthly%20Information%20.xlsx,xlsx,10,39.88 kb,40,bus,,,,
141,PMPML Monthy Stat Report Jan 18,PMPML monthly data,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/405?filepath=%2FDocuments%2F405%2FPMPML%20Monthy%20Stat%20Report%20Jan%2018.xlsx,xlsx,10,39.87 kb,40,bus,,,,
142,List of establishments for Swatchata Ranking,Source: Sarvekshan 2018,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/402?filepath=%2FDocuments%2F402%2FList%20of%20establishments%20for%20Swatchata%20Ranking.xlsx,xlsx,19,63.66 kb,64,waste management,,,,
143,School Enrollment with Analysis,School--enrollment data,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/399?filepath=%2FDocuments%2F399%2FSchool%20Enrollment%20with%20Analysis.xlsx,xlsx,38,1.93 mb,1976,education,,,,
144,Toilet--at--FuelPumps,List of Fuel Pumps with availability of toilet,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/396?filepath=%2FDocuments%2F396%2FToilet--at--FuelPumps.xlsx,xlsx,12,15.62 kb,16,toilet,,,,
145,List of Birth And Death rate for the year 2018,This excel sheet contains list of birth and death rate in the city for the year 2018,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/393?filepath=%2FDocuments%2F393%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202018.xlsx,xlsx,175,954.08 kb,954,birth death,,,,
146,List of Birth And Death rate for the year 2015.,This excel sheet contains list of birth and death rate in the city for the year 2015.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/390?filepath=%2FDocuments%2F390%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202015..xlsx,xlsx,78,2.78 mb,2847,birth death,,,,
147,List of Birth And Death rate for the year 2012,This excel sheet contains list of birth and death rate in the city for the year 2012,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/387?filepath=%2FDocuments%2F387%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202012.xlsx,xlsx,87,2.82 mb,2888,birth death,,,,
148,List of Birth And Death rate for the year 1985--1990,This excel sheet contains list of birth and death rate in the city for the year 1985--1990,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/384?filepath=%2FDocuments%2F384%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%201985--1990.xlsx,xlsx,81,9.74 mb,9974,birth death,,,,
149,List of Birth And Death rate for the year 1870--1974,This excel sheet contains list of birth and death rate in the city for the year 1870--1974,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/381?filepath=%2FDocuments%2F381%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%201870--1974.xlsx,xlsx,88,93.53 mb,95775,birth death,,,,
150,Air pollution statistics for January 2017 Under PMC,This excel sheet contains Air pollution Statistics for January 2017 in the city.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/378?filepath=%2FDocuments%2F378%2FAir%20pollution%20statistics%20for%20January%202017%20Under%20PMC.xlsx,xlsx,84,12.63 kb,13,air pollution,,,,
151,Air pollution statistics for May 2016 under PMC,This excel sheet contains Air pollution statistics for May 2016 in the city.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/375?filepath=%2FDocuments%2F375%2FAir%20pollution%20statistics%20for%20May%202016%20under%20PMC.xlsx,xlsx,64,12.53 kb,13,air pollution,,,,
152,Yearly Average biochemical demand in the city,This excel sheet contains Yearly average biochemical demand in the city.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/372?filepath=%2FDocuments%2F372%2FYearly%20Average%20biochemical%20demand%20in%20the%20city.xlsx,xlsx,76,10.8 kb,11,water pollution,,,,
153,List of different types of trees in the city under PMC,This excel sheet contains list of different types of trees in the city under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/369?filepath=%2FDocuments%2F369%2FList%20of%20different%20types%20of%20trees%20in%20the%20city%20under%20PMC.xlsx,xlsx,123,10.79 kb,11,environment,,,,
154,List of proposed land used under PMC,This excel sheet contains data of proposed land used under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/366?filepath=%2FDocuments%2F366%2FList%20of%20proposed%20land%20used%20under%20PMC.xlsx,xlsx,122,9.83 kb,10,infrastructure,,,,
155,Monthly UV index data for year 2016--17,This excel sheet contains data of monthly UV Index in the city for the year 2016--17.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/363?filepath=%2FDocuments%2F363%2FMonthly%20UV%20index%20data%20for%20year%202016--17.xls,xls,70,646.5 kb,646,weather,,,,
156,List of new villages added under PMC in Year 2018,This excel sheet contains list of new villages to be added under PMC for the year 2018.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/360?filepath=%2FDocuments%2F360%2FList%20of%20new%20villages%20added%20under%20PMC%20in%20Year%202018.xlsx,xlsx,115,9.3 kb,9,infrastructure,,,,
157,Names of Important government officers under PMC,This excel sheet contains information related to list of important government officers under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/357?filepath=%2FDocuments%2F357%2FNames%20of%20Important%20government%20officers%20under%20PMC.xlsx,xlsx,107,10.03 kb,10,infrastructure,,,,
158,Different types of Birds species in the city,This excel shet contains various types of birds species in the city.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/354?filepath=%2FDocuments%2F354%2FDifferent%20types%20of%20Birds%20species%20in%20the%20city.xlsx,xlsx,132,9.78 kb,10,environment,,,,
159,Slum details under Dhankawadi area for the year 2017 under PMC,This excel sheet contains information related to the slums under Dhankawadi area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/351?filepath=%2FDocuments%2F351%2FSlum%20details%20under%20Dhankawadi%20area%20for%20the%20year%202017%20under%20PMC.xls,xls,188,21 kb,21,slum,,,,
160,Slum details under Sahakar Nagar area for the year 2017 under PMC,This excel sheet contains information related to the slums under Sahakar Nagar area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/348?filepath=%2FDocuments%2F348%2FSlum%20details%20under%20Sahakar%20Nagar%20area%20for%20the%20year%202017%20under%20PMC.xls,xls,126,28.5 kb,28,slum,,,,
161,Slum details under Sangamwadi area for the year 2017 under PMC.,This excel sheet contains information related to the slums under Sangamwadi area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/345?filepath=%2FDocuments%2F345%2FSlum%20details%20under%20Sangamwadi%20area%20for%20the%20year%202017%20under%20PMC..xls,xls,126,71.5 kb,72,slum,,,,
162,Slum details underDhole road area for the year 2017 under PMC,This excel sheet contains information related to the slums under Dhole patil road area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/342?filepath=%2FDocuments%2F342%2FSlum%20details%20ward%20wise%20for%20the%20year%202017%20under%20PMC.xls,xls,146,76 kb,76,slum,,,,
163,Slum details under Kothrud area for the year 2017 under PMC,This excel sheet contains information related to the slums under Kothrud area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/339?filepath=%2FDocuments%2F339%2FSlum%20details%20ward%20wise%20for%20the%20year%202017%20under%20PMC.xls,xls,134,57 kb,57,slum,,,,
164,Graphical presentation of noise pollution in the city for year 2011--2016,This excelsheet contains graphical presentation & statistics of noise pollution in the city for 2011--2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/336?filepath=%2FDocuments%2F336%2FGraphical%20presentation%20of%20noise%20pollution%20in%20the%20city%20for%20year%202011--2016.xlsx,xlsx,89,111.46 kb,111,noise pollution,,,,
165,Noise pollution statistics for January 2017,This excel sheet contains statistics of noise pollution in the city for January 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/333?filepath=%2FDocuments%2F333%2FNoise%20pollution%20statistics%20for%20January%202017.xlsx,xlsx,73,13.87 kb,14,noise pollution,,,,
166,Noise pollution statistics for October 2016,This excel sheet contains statistics of noise pollution in the city for October 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/330?filepath=%2FDocuments%2F330%2FNoise%20pollution%20statistics%20for%20October%202016.xlsx,xlsx,73,13.99 kb,14,noise pollution,,,,
167,Noise pollution statistics for July 2016,This excel sheet contains statistics of noise pollution in the city for July 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/327?filepath=%2FDocuments%2F327%2FNoise%20pollution%20statistics%20for%20July%202016.xlsx,xlsx,74,13.79 kb,14,noise pollution,,,,
168,Noise pollution statistics for April 2016,This excel sheet contains statistics of noise pollution in the city for April 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/324?filepath=%2FDocuments%2F324%2FNoise%20pollution%20statistics%20for%20April%202016.xlsx,xlsx,73,12.78 kb,13,noise pollution,,,,
169,water pollution statistics for February 2017.,This excel sheet contains water pollution statistics for February 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/321?filepath=%2FDocuments%2F321%2Fwater%20pollution%20statistics%20for%20February%202017..xlsx,xlsx,98,21.66 kb,22,water pollution,,,,
170,water pollution statistics for November 2016,This excel sheet contains water pollution statistics for November 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/318?filepath=%2FDocuments%2F318%2Fwater%20pollution%20statistics%20for%20November%202016.xlsx,xlsx,84,21.61 kb,22,water pollution,,,,
171,water pollution statistics for August 2016,This excel sheet contains water pollution statistics for August 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/315?filepath=%2FDocuments%2F315%2Fwater%20pollution%20statistics%20for%20August%202016.xlsx,xlsx,75,23.91 kb,24,water pollution,,,,
172,water pollution statistics for May 2016,This excel sheet contains water pollution statistics for May 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/312?filepath=%2FDocuments%2F312%2Fwater%20pollution%20statistics%20for%20May%202016.xlsx,xlsx,68,24.09 kb,24,water pollution,,,,
173,graphical presentation of Biochemical oxygen level of water in the city for 2016--2018,This excelsheet contains Biochemical oxygen demand level of water in city for the year 2012--2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/309?filepath=%2FDocuments%2F309%2Fgraphical%20presentation%20of%20Biochemical%20oxygen%20level%20of%20water%20in%20the%20city%20for%202016--2018.xlsx,xlsx,96,292.31 kb,292,water pollution,,,,
174,Average water pollution statistics for the year 2016,This excel sheet contains average water pollution statistics for the year 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/306?filepath=%2FDocuments%2F306%2FAverage%20water%20pollution%20statistics%20for%20the%20year%202016%20.xlsx,xlsx,91,292.38 kb,292,water pollution,,,,
175,Air pollution statistics for January 2017,This excel sheet contains air pollution statistics for January 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/303?filepath=%2FDocuments%2F303%2FAir%20pollution%20statistics%20for%20January%202017.xlsx,xlsx,73,12.63 kb,13,air pollution,,,,
176,Air pollution statistics for October 2016,This excel sheet contains air pollution statistics for October 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/300?filepath=%2FDocuments%2F300%2FAir%20pollution%20statistics%20for%20October%202016.xlsx,xlsx,62,12.6 kb,13,air pollution,,,,
177,Air pollution statistics for July 2016,This excel sheet contains air pollution statistics for July 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/297?filepath=%2FDocuments%2F297%2FAir%20pollution%20statistics%20for%20July%202016.xlsx,xlsx,67,12.46 kb,12,air pollution,,,,
178,Air pollution statistics for April 2016,This excel sheet contains air pollution statistics for April 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/294?filepath=%2FDocuments%2F294%2FAir%20pollution%20statistics%20for%20April%202016.xlsx,xlsx,66,11.51 kb,12,air pollution,,,,
179,Total quantity of waste collected for December 2017 under PMC,This excel sheet contains total quantity of waste collected for December 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/291?filepath=%2FDocuments%2F291%2FTotal%20quantity%20of%20waste%20collected%20for%20December%202017%20under%20PMC.xlsx,xlsx,106,13.59 kb,14,waste management,,,,
180,Total quantity of waste collected for September 2017 under PMC,This excel sheet contains total quantity of waste collected for September 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/288?filepath=%2FDocuments%2F288%2FTotal%20quantity%20of%20waste%20collected%20for%20September%202017%20under%20PMC.xlsx,xlsx,70,13.38 kb,13,waste management,,,,
181,Total quantity of waste collected for June 2017 under PMC,This excel sheet contains total quantity of waste collected for June 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/285?filepath=%2FDocuments%2F285%2FTotal%20quantity%20of%20waste%20collected%20for%20June%202017%20under%20PMC.xlsx,xlsx,109,13.46 kb,13,waste management,,,,
182,Total quantity of waste collected for March 2017 under PMC,This excel sheet contains total quantity of waste collected for March 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/282?filepath=%2FDocuments%2F282%2FTotal%20quantity%20of%20waste%20collected%20for%20March%202017%20under%20PMC.xlsx,xlsx,69,12.13 kb,12,waste management,,,,
183,List of total number of plants under PMC,This excel sheet contains total number of plants under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/279?filepath=%2FDocuments%2F279%2FList%20of%20total%20number%20of%20plants%20under%20PMC%20.xlsx,xlsx,123,19.75 kb,20,waste management,,,,
